group,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Male,20574,38493,56711,77367,99946,120951,142650,163788,179135,193555,209654,225007
Female,55221,70823,86802,106035,126958,146873,166948,187044,202339,216664,232859,248334
<9,3,1,0,0,1,1,0,2,0,0,2,1
9-142,16458,23004,28215,36383,44374,49557,54729,58983,56735,52808,51848,51522
14-26,59331,86296,115183,146644,181202,214563,246876,277885,302238,322171,338127,348376
>=26,398208,364699,330602,290973,248423,209879,172395,137130,115027,99021,84023,74101
White,32635,49774,66838,86873,109218,130939,152995,174070,190051,203714,218956,233244
Black,6643,9529,12635,16727,21117,25031,28954,32860,35569,38436,41532,44677
Asian,3990,5803,7830,10642,13637,16675,20017,23285,25957,28451,31613,34801
Hispanic,14329,21043,29631,39846,51594,61855,72568,84262,92393,101611,112155,122192
Non-Hispanic,38598,58515,78026,101732,127471,152483,177657,201188,219371,234853,252642,269436
Total,75954,109540,143808,183751,227304,268268,310072,351339,381998,410773,443121,473995
