1,zip,rate
1,501,0.5
,544,0.3333333333333333
,6390,0.9090909090909091
,11001,1.5883905013192612
,11003,1.5706465606279694
,11010,1.4363428571428571
,11020,1.6797033041132838
,11021,1.5089456869009585
,11022,1.1
,11023,1.3295843520782396
,11024,1.235261089275688
,11025,1.1666666666666667
,11026,2
,11027,1.8
,11030,1.537135694139768
,11040,1.625814696485623
,11041,0
,11042,1.0740740740740742
,11043,1.4
,11044,4
,11050,1.5521537913848344
,11051,1
,11052,4
,11053,0
,11054,6
,11055,0
,11096,1.3003968253968254
,11099,0
,11501,1.4366157328805886
,11507,1.5826989619377163
,11509,1.4964788732394365
,11510,1.526464047
,11514,1.3296432964329643
,11516,1.034934497816594
,11518,1.5104581673306774
,11520,1.4187300137048882
,11530,1.5081629145901359
,11531,3
,11535,1.5714285714285714
,11536,0.5
,11542,1.3284499909567733
,11545,1.5608622147083686
,11547,1.6354166666666667
,11548,1.5770750988142292
,11549,2.1875
,11550,1.4833444001770695
,11551,1.1136363636363635
,11552,1.4851893513310837
,11553,1.5597840400316039
,11554,1.4688661710037174
,11555,1
,11556,0.9782608695652174
,11557,1.4577922077922079
,11558,1.4513081395348837
,11559,1.0820745216515608
,11560,1.502857142857143
,11561,1.3823884197828709
,11563,1.4995056846267918
,11565,1.5976638546398443
,11566,1.3387191539365453
,11568,1.5815602836879432
,11569,1.3927125506072875
,11570,1.5895509348243928
,11571,0.9473684210526315
,11572,1.4482092696629214
,11575,1.4508801817149346
,11576,1.677746999076639
,11577,1.5590790616854908
,11579,1.5243296921549156
,11580,1.603356890459364
,11581,1.5036796536796537
,11582,1.4411764705882353
,11590,1.4794023663528801
,11592,0
,11594,1
,11595,0.3333333333333333
,11596,1.5098684210526316
,11597,1
,11598,1.2273608418720576
,11599,0.5714285714285714
,11701,1.3229483282674772
,11702,1.458116232
,11703,1.3538840937114673
,11704,1.3489467849223946
,11705,1.3747747747747747
,11706,1.3878982406086544
,11707,1.3076923076923077
,11708,1.1428571428571428
,11709,1.420353982300885
,11710,1.3383733885086742
,11713,1.3796545105566218
,11714,1.450752062105774
,11715,1.2493403693931397
,11716,1.3018766756032172
,11717,1.423836228514111
,11718,1.4046434494195688
,11719,1.4460093896713615
,11720,1.349417918002362
,11721,1.4416086620262953
,11722,1.4362736734345676
,11724,1.6459709379128138
,11725,1.548603169416762
,11726,1.3412538841162494
,11727,1.3397192716236723
,11729,1.4306871017737213
,11730,1.4639423076923077
,11731,1.5302457466918715
,11732,1.4979674796747968
,11733,1.5305332964907432
,11735,1.4035433070866141
,11736,1
,11737,1.1428571428571428
,11738,1.3586733196360434
,11739,1.5087719298245614
,11740,1.575268817204301
,11741,1.3257778693591593
,11742,1.3805719091673676
,11743,1.5042735042735043
,11746,1.529669762641899
,11747,1.5808055693684735
,11749,1.5593471810089021
,11750,1.5454545454545454
,11751,1.445063694267516
,11752,1.3421926910299002
,11753,1.7135135135135136
,11754,1.4267091541135573
,11755,1.3720614828209765
,11756,1.2986762626911708
,11757,1.2751669396497418
,11758,1.3144593730006398
,11760,3.6666666666666665
,11762,1.2877733598409542
,11763,1.339197632357777
,11764,1.390316573556797
,11765,1.6703296703296704
,11766,1.3912505158893933
,11767,1.4772198204190223
,11768,1.4498473103124265
,11769,1.4258720930232558
,11770,1.4782608695652173
,11771,1.4831271091113611
,11772,1.339218768895876
,11773,1.4583333333333333
,11774,1.6666666666666667
,11775,3
,11776,1.3442876473999614
,11777,1.4439306358381503
,11778,1.2491282448663308
,11779,1.3902849922785343
,11780,1.3278898495036824
,11782,1.2854538826102808
,11783,1.2141693811074918
,11784,1.286869464767039
,11786,1.4070735090152566
,11787,1.4534740304234617
,11788,1.4331667707682698
,11789,1.3387668320340185
,11790,1.4881134969325154
,11791,1.5677482471873472
,11792,1.3651877133105803
,11793,1.295552605376701
,11794,1.9
,11795,1.3652003910068427
,11796,1.284074605451937
,11797,1.7249666221628839
,11798,1.3599862731640358
,11801,1.4869599065784351
,11802,1.625
,11803,1.6647359454855195
,11804,1.7674418604651163
,11815,0
,11819,0
,11853,0
,11854,0
,11855,0
,11901,1.312989921612542
,11930,1.5420289855072464
,11931,1.5180722891566265
,11932,1.4698795180722892
,11933,1.4285714285714286
,11934,1.283867341202923
,11935,1.291366906
,11937,1.4301662118580998
,11939,1.2121212121212122
,11940,1.4607329842931938
,11941,1.316425120772947
,11942,1.3875545851528384
,11944,1.3568507157464214
,11946,1.525870484868207
,11947,1.094890510948905
,11948,1.7222222222222223
,11949,1.2835302293259208
,11950,1.298404908
,11951,1.312415196743555
,11952,1.307591623036649
,11953,1.3217592592592593
,11954,1.5457627118644068
,11955,1.2267303102625298
,11956,1.4390243902439024
,11957,1.0512820512820513
,11958,1.3067484662576687
,11959,1.6153846153846154
,11960,1.4618644067796611
,11961,1.3293413173652695
,11962,1.2025316455696202
,11963,1.4744769874476988
,11964,1.3152709359605912
,11965,1.7123287671232876
,11967,1.3080042313117066
,11968,1.559754369390647
,11969,1.6424581005586592
,11970,1.5172413793103448
,11971,1.3401069518716577
,11972,1.2722513089005236
,11973,1
,11975,1.5038167938931297
,11976,1.6597938144329898
,11977,1.3589211618257262
,11978,1.4019728729963008
,11980,1.3008595988538683
